Date,Open,High,Low,Close,Volume
2025-01-01,149.73,152.99,147.52,150.74,2074333
2025-01-02,148.73,148.9,143.86,147.82,4716538
2025-01-03,148.61,149.99,144.16,148.31,2203977
2025-01-04,148.62,151.35,144.84,148.04,4414343
2025-01-05,149.49,154.36,147.92,153.85,1898788
2025-01-06,156.01,156.67,152.79,156.22,2428654
2025-01-07,153.82,157.12,152.96,156.45,2647049
2025-01-08,154.45,157.59,151.14,151.92,1161502
2025-01-09,154.81,157.51,152.81,154.03,1837001
2025-01-10,154.39,154.69,152.3,153.58,3637373
2025-01-11,152.69,157.57,148.43,157.44,4436056
2025-01-12,154.85,157.1,150.1,150.65,4503830
2025-01-13,153.64,154.19,150.82,152.3,1117177
2025-01-14,154.63,154.67,152.22,152.47,4933925
2025-01-15,151.1,153.47,146.83,150.03,2585173
2025-01-16,151.62,156.16,151.38,154.1,4018403
2025-01-17,153.05,156.36,152.96,154.32,4430261
2025-01-18,152.72,152.73,148.52,149.47,1000529
2025-01-19,150.99,152.98,148.18,148.98,2366038
2025-01-20,149.37,153.25,145.3,152.47,3054743
2025-01-21,152.25,154.94,147.73,153.36,2420766
2025-01-22,152.71,155.11,152.44,153.22,4859728
2025-01-23,154.76,159.29,154.28,156.85,3602316
2025-01-24,154.02,156.08,150.1,154.84,2794372
2025-01-25,154.63,154.92,153.07,154.2,4769459
2025-01-26,152.98,153.67,150.87,151.12,2227692
2025-01-27,148.44,148.76,145.68,145.91,3709163
2025-01-28,147.84,148.7,143.9,148.58,1880808
2025-01-29,148.44,148.61,146.8,148.33,4147404
2025-01-30,145.83,147.03,143.35,144.59,3574599
2025-01-31,145.43,150.13,144.27,145.9,2002391
2025-02-01,144.02,147.43,140.21,145.45,1078840
2025-02-02,147.7,148.14,144.85,146.02,3240935
2025-02-03,146.32,150.07,146.05,149.68,2442808
2025-02-04,151.55,154.8,150.95,152.88,4440301
2025-02-05,151.67,153.18,151.05,152.92,1819370
2025-02-06,154.23,155.35,151.37,151.63,1543802
2025-02-07,152.67,154.76,151.63,152.99,3882813
2025-02-08,150.82,153.69,149.6,152.39,3115050
2025-02-09,150.72,155.48,148.37,155.0,4178963
2025-02-10,153.16,158.01,149.86,151.72,1196935
2025-02-11,152.07,155.55,149.17,150.24,1502384
2025-02-12,152.4,154.17,149.31,152.07,4492383
2025-02-13,151.97,156.24,151.33,152.0,1782431
2025-02-14,150.05,153.25,148.88,150.03,4030494
2025-02-15,148.22,151.39,147.91,148.07,2262903
2025-02-16,145.08,149.97,141.41,146.48,1149504
2025-02-17,144.63,149.3,141.35,143.79,4768687
2025-02-18,141.55,143.64,138.91,139.64,1259678
2025-02-19,139.06,139.21,136.26,136.61,3624794
2025-02-20,136.59,140.3,132.31,136.15,2436252
2025-02-21,135.81,139.57,131.5,135.26,4949271
2025-02-22,137.89,139.76,135.61,139.56,4775665
2025-02-23,142.14,146.96,139.14,143.19,3770755
2025-02-24,143.59,143.95,142.74,142.96,4132197
2025-02-25,144.42,147.19,141.17,141.39,2818132
2025-02-26,142.78,147.77,138.75,139.08,1748202
2025-02-27,140.27,143.4,136.5,138.62,3498524
2025-02-28,137.1,141.04,132.33,133.87,4430522
2025-03-01,136.59,137.61,134.6,136.07,1388326
2025-03-02,135.11,139.45,134.12,137.07,2202612
2025-03-03,137.41,137.72,136.68,136.84,1091533
2025-03-04,136.69,140.63,134.64,139.86,2587848
2025-03-05,139.36,144.0,137.95,139.52,3543060
2025-03-06,141.1,145.3,139.82,143.06,2118638
2025-03-07,144.43,148.94,142.22,143.93,1426189
2025-03-08,142.71,143.81,138.31,142.56,3869844
2025-03-09,140.46,143.55,138.97,141.83,2227909
2025-03-10,140.03,141.82,136.21,139.07,2419989
2025-03-11,137.81,139.99,135.59,137.77,1986791
2025-03-12,136.24,139.96,134.45,136.51,2235624
2025-03-13,134.84,135.87,130.65,134.57,3939871
2025-03-14,134.53,136.98,134.4,135.21,4775232
2025-03-15,137.06,140.34,133.24,137.1,2021118
2025-03-16,138.87,141.07,134.75,136.79,4264665
2025-03-17,134.54,137.5,130.53,132.42,3590453
2025-03-18,133.26,137.09,129.85,131.71,3836349
2025-03-19,134.42,138.4,131.3,135.31,1698396
2025-03-20,135.22,139.83,132.77,137.98,1437353
2025-03-21,138.58,138.85,135.12,135.48,3871761
2025-03-22,137.37,140.7,136.98,137.35,1100691
2025-03-23,138.5,140.19,137.05,139.93,1131465
2025-03-24,138.03,141.31,136.11,140.59,1981288
2025-03-25,142.51,146.12,137.56,142.61,4972528
2025-03-26,143.11,146.97,138.79,146.59,4358904
2025-03-27,149.24,153.11,146.33,152.38,4551835
2025-03-28,151.32,152.02,150.42,152.0,1449387
2025-03-29,150.51,151.41,146.33,151.1,3718194
2025-03-30,151.11,153.77,149.95,150.87,4621709
2025-03-31,152.73,155.68,148.52,151.48,4972456
2025-04-01,151.94,152.92,148.7,151.91,4863016
2025-04-02,148.98,151.49,146.59,149.7,4446183
2025-04-03,146.96,151.15,145.49,148.54,1275576
2025-04-04,148.26,149.24,147.38,147.55,4886554
2025-04-05,144.6,147.86,140.27,145.53,2081702
2025-04-06,147.98,152.65,145.11,149.12,3492720
2025-04-07,146.84,147.74,143.81,144.08,3782814
2025-04-08,141.15,142.07,137.03,140.83,1396134
2025-04-09,139.52,142.16,138.46,141.92,3288390
2025-04-10,139.4,144.01,137.19,141.86,1773345
